record_id,start,activity_desc_english,activity_desc
FUSPCEU_S004,2024-10-12T09:00:00Z,indoor sports,deporte en interiores
FUSPCEU_S005,2024-10-18T07:00:00Z,online shopping,compras internet
FUSPCEU_S005,2024-10-18T08:00:00Z,online shopping,compras internet
FUSPCEU_S005,2024-10-18T19:00:00Z,shopping,compras
FUSPCEU_S008,2024-10-23T19:00:00Z,watching soccer at a bar,viendo futbol en bar
FUSPCEU_S008,2024-10-23T20:00:00Z,watching soccer in a bar,viendo futbol en bar
FUSPCEU_S008,2024-10-25T14:00:00Z,Rain - it has not been possible to record,lluvia - no ha sido posible registrar
FUSPCEU_S008,2024-10-25T15:00:00Z,Rain - it has not been possible to register,lluvia - no ha sido posible registrar
FUSPCEU_S008,2024-10-25T16:00:00Z,rain - it has not been possible to record,lluvia - no ha sido posible registrar
FUSPCEU_S008,2024-10-25T17:00:00Z,rain - it has not been possible to record,lluvia - no ha sido posible registrar
FUSPCEU_S008,2024-10-25T18:00:00Z,Rain - it has not been possible to record,lluvia - no ha sido posible registrar
FUSPCEU_S008,2024-10-25T19:00:00Z,Rain - it has not been possible to record,lluvia - no ha sido posible registrar
FUSPCEU_S008,2024-10-25T20:00:00Z,Rain - it has not been possible to record,lluvia - no ha sido posible registrar
FUSPCEU_S011,2024-11-12T18:00:00Z,shopping mall,centro comercial
FUSPCEU_S011,2024-11-12T19:00:00Z,shopping mall,centro comercial
FUSPCEU_S011,2024-11-12T20:00:00Z,shopping mall,centro comercial
FUSPCEU_S011,2024-11-14T18:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-14T19:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-14T20:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-14T21:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-15T18:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-15T19:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-15T20:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-15T21:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-15T22:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-15T23:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-16T00:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-16T01:00:00Z,concert,concierto
FUSPCEU_S011,2024-11-16T15:00:00Z,meal or dinner,comida o cena
FUSPCEU_S011,2024-11-16T16:00:00Z,meal or dinner,comida o cena
FUSPCEU_S011,2024-11-16T17:00:00Z,lunch or dinner,comida o cena
FUSPCEU_S011,2024-11-16T18:00:00Z,lunch or dinner,comida o cena
FUSPCEU_S011,2024-11-16T19:00:00Z,lunch or dinner,comida o cena
FUSPCEU_S011,2024-11-16T20:00:00Z,lunch or dinner,comida o cena
FUSPCEU_S011,2024-11-16T21:00:00Z,lunch or dinner,comida o cena
FUSPCEU_S011,2024-11-16T22:00:00Z,meal or dinner,comida o cena
FUSPCEU_S011,2024-11-16T23:00:00Z,lunch or dinner,comida o cena
FUSPCEU_S011,2024-11-17T00:00:00Z,lunch or dinner,comida o cena
FUSPCEU_S013,2024-11-23T16:00:00Z,bar,bar
FUSPCEU_S013,2024-11-23T17:00:00Z,bar,bar
FUSPCEU_S013,2024-11-24T11:00:00Z,bar,bar
FUSPCEU_S013,2024-11-24T12:00:00Z,bar,bar
FUSPCEU_S013,2024-11-24T13:00:00Z,bar,bar
FUSPCEU_S019,2024-12-10T16:00:00Z,indoor sports,deporte en interiores
FUSPCEU_S019,2024-12-14T13:00:00Z,exercise,ejercicio
FUSPCEU_S020,2025-01-25T18:00:00Z,The glasses fell and broke.,se cayeron y se rompieron las gafas
FUSPCEU_S020,2025-01-25T19:00:00Z,They fell and their glasses broke.,se cayeron y se rompieron las gafas
FUSPCEU_S020,2025-01-25T20:00:00Z,They fell and the glasses broke.,se cayeron y se rompieron las gafas
FUSPCEU_S020,2025-01-25T21:00:00Z,The glasses fell and broke.,se cayeron y se rompieron las gafas
FUSPCEU_S020,2025-01-25T22:00:00Z,the glasses fell and broke,se cayeron y se rompieron las gafas
FUSPCEU_S020,2025-01-25T23:00:00Z,They fell and the glasses broke,se cayeron y se rompieron las gafas
FUSPCEU_S020,2025-01-26T00:00:00Z,My glasses fell and broke.,se cayeron y se rompieron las gafas
FUSPCEU_S020,2025-01-26T01:00:00Z,they fell down and their glasses broke,se cayeron y se rompieron las gafas
FUSPCEU_S020,2025-01-26T02:00:00Z,The glasses fell and broke.,se cayeron y se rompieron las gafas
FUSPCEU_S020,2025-01-26T03:00:00Z,they fell down and the glasses broke,se cayeron y se rompieron las gafas
FUSPCEU_S021,2025-01-21T11:00:00Z,hospital,hospital
FUSPCEU_S021,2025-01-21T12:00:00Z,hospital,hospital
FUSPCEU_S021,2025-01-21T13:00:00Z,hospital,hospital
FUSPCEU_S021,2025-01-21T14:00:00Z,hospital,hospital
FUSPCEU_S021,2025-01-21T15:00:00Z,hospital,hospital
FUSPCEU_S021,2025-01-24T08:00:00Z,operation,operación
FUSPCEU_S021,2025-01-24T09:00:00Z,operation,operación
FUSPCEU_S021,2025-01-24T10:00:00Z,surgery,operación
FUSPCEU_S021,2025-01-24T11:00:00Z,operation,operación
FUSPCEU_S021,2025-01-24T12:00:00Z,operation,operación
FUSPCEU_S021,2025-01-24T13:00:00Z,operation,operación
FUSPCEU_S021,2025-01-24T14:00:00Z,surgery,operación
FUSPCEU_S021,2025-01-24T15:00:00Z,operation,operación
FUSPCEU_S021,2025-01-24T16:00:00Z,surgery,operación
FUSPCEU_S021,2025-01-24T17:00:00Z,operation,operación
FUSPCEU_S021,2025-01-24T18:00:00Z,surgery,operación
FUSPCEU_S021,2025-01-24T19:00:00Z,operation,operación
FUSPCEU_S021,2025-01-24T20:00:00Z,operation,operación
FUSPCEU_S021,2025-01-24T21:00:00Z,operation,operación
FUSPCEU_S021,2025-01-24T22:00:00Z,surgery,operación
FUSPCEU_S021,2025-01-25T08:00:00Z,dizziness,mareos
FUSPCEU_S021,2025-01-25T09:00:00Z,dizziness,mareos
FUSPCEU_S021,2025-01-25T10:00:00Z,dizziness,mareos
FUSPCEU_S021,2025-01-25T11:00:00Z,dizziness,mareos
FUSPCEU_S021,2025-01-25T12:00:00Z,dizziness,mareos
FUSPCEU_S021,2025-01-25T13:00:00Z,dizziness,mareos
FUSPCEU_S021,2025-01-25T14:00:00Z,dizziness,mareos
